ID,MID,WILAYAH,CHANNEL
,204169205,WBN,PPP
,204169213,WBN,PPP
,204169221,WBN,PPP
,204169239,WBN,PPP
,204169247,WBN,PPP
,204169254,WBN,PPP
,204169262,WBN,PPP
,204169270,WBN,PPP
,204169288,WBN,PPP
,204169296,WBN,PPP
,204169304,WBN,PPP
,204169312,WBN,PPP
,204169320,WBN,PPP
,204169338,WBN,PPP
,204169346,WBN,PPP
,204169353,WBN,PPP
,204169361,WBN,PPP
,204169379,WBN,PPP
,204169387,WBN,PPP
,204169395,WBN,PPP
,204169403,WBN,PPP
,204169411,WBN,PPP
,204169429,WBN,PPP
,204169437,WBN,PPP
,204169445,WBN,PPP
,204169452,WBN,PPP
,204169460,WBN,PPP
,204169478,WBN,PPP
,204169486,WBN,PPP
,204169494,WBN,PPP
,204169502,WBN,PPP
,204169510,WBN,PPP
,205030026,WSM,PPP
,206033698,WSY,PPP
,206033706,WSY,PPP
,206033714,WSY,PPP
,206033722,WSY,PPP
,206033730,WSY,PPP
,206033748,WSY,PPP
,206033755,WSY,PPP
,206033763,WSY,PPP
,206033771,WSY,PPP
,206033789,WSY,PPP
,206033797,WSY,PPP
,206033805,WSY,PPP
,206033813,WSY,PPP
,206033821,WSY,PPP
,206033839,WSY,PPP
,206033847,WSY,PPP
,206033854,WSY,PPP
,206033862,WSY,PPP
,206033870,WSY,PPP
,206033888,WSY,PPP
,206033896,WSY,PPP
,206033904,WSY,PPP
,206033912,WSY,PPP
,206033920,WSY,PPP
,206033938,WSY,PPP
,206033946,WSY,PPP
,206033953,WSY,PPP
,206033961,WSY,PPP
,206033979,WSY,PPP
,206033987,WSY,PPP
,206033995,WSY,PPP
,206034001,WSY,PPP
,206034019,WSY,PPP
,206034027,WSY,PPP
,206034035,WSY,PPP
,206034043,WSY,PPP
,206034050,WSY,PPP
,206034068,WSY,PPP
,206034076,WSY,PPP
,206034084,WSY,PPP
,206034092,WSY,PPP
,206034100,WSY,PPP
,206034118,WSY,PPP
,206034126,WSY,PPP
,206034134,WSY,PPP
,206034142,WSY,PPP
,206034159,WSY,PPP
,206034167,WSY,PPP
,206034175,WSY,PPP
,206034183,WSY,PPP
,206034191,WSY,PPP
,206034233,WSY,PPP
,206034241,WSY,PPP
,206034258,WSY,PPP
,206034266,WSY,PPP
,206034274,WSY,PPP
,206034282,WSY,PPP
,206034290,WSY,PPP
,206034308,WSY,PPP
,206034316,WSY,PPP
,206034324,WSY,PPP
,207138611,WMK,PPP
,207138629,WMK,PPP
,207138637,WMK,PPP
,207138645,WMK,PPP
,207138652,WMK,PPP
,207138660,WMK,PPP
,207138678,WMK,PPP
,207138686,WMK,PPP
,207138694,WMK,PPP
,207138702,WMK,PPP
,207138710,WMK,PPP
,207138728,WMK,PPP
,207138736,WMK,PPP
,207138744,WMK,PPP
,207138751,WMK,PPP
,207138769,WMK,PPP
,207138777,WMK,PPP
,207138785,WMK,PPP
,207138793,WMK,PPP
,207138801,WMK,PPP
,207138819,WMK,PPP
,207138827,WMK,PPP
,207138835,WMK,PPP
,207138843,WMK,PPP
,207138850,WMK,PPP
,207138868,WMK,PPP
,207138876,WMK,PPP
,207138884,WMK,PPP
,207138892,WMK,PPP
,207138900,WMK,PPP
,207138918,WMK,PPP
,207138926,WMK,PPP
,207138934,WMK,PPP
,207138942,WMK,PPP
,207138959,WMK,PPP
,207138967,WMK,PPP
,207138975,WMK,PPP
,207138983,WMK,PPP
,207138991,WMK,PPP
,207139007,WMK,PPP
,207139015,WMK,PPP
,207139023,WMK,PPP
,207139031,WMK,PPP
,207139049,WMK,PPP
,207139056,WMK,PPP
,207139064,WMK,PPP
,207139072,WMK,PPP
,207139080,WMK,PPP
,207139098,WMK,PPP
,207139106,WMK,PPP
,208031054,WDR,PPP
,208031062,WDR,PPP
,208031070,WDR,PPP
,208031088,WDR,PPP
,208031096,WDR,PPP
,208031104,WDR,PPP
,208031112,WDR,PPP
,208031120,WDR,PPP
,208031138,WDR,PPP
,208031146,WDR,PPP
,208031153,WDR,PPP
,208031161,WDR,PPP
,208031179,WDR,PPP
,208031187,WDR,PPP
,208031195,WDR,PPP
,208031203,WDR,PPP
,208031211,WDR,PPP
,208031229,WDR,PPP
,208031237,WDR,PPP
,208031245,WDR,PPP
,208031252,WDR,PPP
,208031260,WDR,PPP
,208031278,WDR,PPP
,208031286,WDR,PPP
,208031294,WDR,PPP
,208031302,WDR,PPP
,208031310,WDR,PPP
,208031328,WDR,PPP
,208031336,WDR,PPP
,208031344,WDR,PPP
,208031351,WDR,PPP
,208031369,WDR,PPP
,208031377,WDR,PPP
,208031385,WDR,PPP
,208031393,WDR,PPP
,208031401,WDR,PPP
,208031419,WDR,PPP
,208031427,WDR,PPP
,208031435,WDR,PPP
,208031443,WDR,PPP
,208031450,WDR,PPP
,208031468,WDR,PPP
,208031476,WDR,PPP
,208031484,WDR,PPP
,208031492,WDR,PPP
,208031500,WDR,PPP
,208031518,WDR,PPP
,208031526,WDR,PPP
,208031534,WDR,PPP
,208031542,WDR,PPP
,208031559,WDR,PPP
,208031567,WDR,PPP
,208140913,WDR,PPP
,208142489,WDR,PPP
,208142505,WDR,PPP
,208142513,WDR,PPP
,208142547,WDR,PPP
